,Close
2025-03-21 12:15:00,214.41
2025-03-21 12:16:00,214.5899
2025-03-21 12:17:00,214.715
2025-03-21 12:18:00,214.8
2025-03-21 12:19:00,214.83
2025-03-21 12:20:00,214.98
2025-03-21 12:21:00,214.88
2025-03-21 12:22:00,214.95
2025-03-21 12:23:00,215.08
2025-03-21 12:24:00,215.0599
2025-03-21 12:25:00,214.86
2025-03-21 12:26:00,214.845
2025-03-21 12:27:00,214.84
2025-03-21 12:28:00,214.725
2025-03-21 12:29:00,214.655
2025-03-21 12:30:00,214.9
2025-03-21 12:31:00,215.11
2025-03-21 12:32:00,215.29
2025-03-21 12:33:00,215.08
2025-03-21 12:34:00,215.32
2025-03-21 12:35:00,214.98
2025-03-21 12:36:00,214.79
2025-03-21 12:37:00,214.77
2025-03-21 12:38:00,214.91
2025-03-21 12:39:00,214.97
2025-03-21 12:40:00,215.045
2025-03-21 12:41:00,215.215
2025-03-21 12:42:00,215.26
2025-03-21 12:43:00,215.2
2025-03-21 12:44:00,215.08
2025-03-21 12:45:00,215.25
2025-03-21 12:46:00,215.32
2025-03-21 12:47:00,215.31
2025-03-21 12:48:00,215.31
2025-03-21 12:49:00,215.28
2025-03-21 12:50:00,215.26
2025-03-21 12:51:00,215.3627
2025-03-21 12:52:00,215.22
2025-03-21 12:53:00,215.22
2025-03-21 12:54:00,215.16
2025-03-21 12:55:00,215.22
2025-03-21 12:56:00,215.12
2025-03-21 12:57:00,215.3
2025-03-21 12:58:00,215.34
2025-03-21 12:59:00,215.43
2025-03-21 13:00:00,215.2406
2025-03-21 13:01:00,215.265
2025-03-21 13:02:00,215.13
2025-03-21 13:03:00,215.0828
2025-03-21 13:04:00,215.1
2025-03-21 13:05:00,215.19
2025-03-21 13:06:00,215.095
2025-03-21 13:07:00,215.19
2025-03-21 13:08:00,215.185
2025-03-21 13:09:00,215.2101
2025-03-21 13:10:00,215.205
2025-03-21 13:11:00,215.045
2025-03-21 13:12:00,215.14
2025-03-21 13:13:00,215.06
2025-03-21 13:14:00,215.06
2025-03-21 13:15:00,215.09
2025-03-21 13:16:00,215.03
2025-03-21 13:17:00,214.9206
2025-03-21 13:18:00,214.9
2025-03-21 13:19:00,214.81
2025-03-21 13:20:00,214.8554
2025-03-21 13:21:00,214.95
2025-03-21 13:22:00,214.98
2025-03-21 13:23:00,214.92
2025-03-21 13:24:00,214.9402
2025-03-21 13:25:00,214.87
2025-03-21 13:26:00,214.72
2025-03-21 13:27:00,214.5
2025-03-21 13:28:00,214.61
2025-03-21 13:29:00,214.62
2025-03-21 13:30:00,214.555
2025-03-21 13:31:00,214.48
2025-03-21 13:32:00,214.6399
2025-03-21 13:33:00,214.7299
2025-03-21 13:34:00,214.76
2025-03-21 13:35:00,214.76
2025-03-21 13:36:00,214.83
2025-03-21 13:37:00,214.9
2025-03-21 13:38:00,214.965
2025-03-21 13:39:00,215.025
2025-03-21 13:40:00,214.8926
2025-03-21 13:41:00,214.7675
2025-03-21 13:42:00,214.64
2025-03-21 13:43:00,214.74
2025-03-21 13:44:00,214.6224
2025-03-21 13:45:00,214.635
2025-03-21 13:46:00,214.71
2025-03-21 13:47:00,214.5
2025-03-21 13:48:00,214.58
2025-03-21 13:49:00,214.7
2025-03-21 13:50:00,214.77
2025-03-21 13:51:00,214.81
2025-03-21 13:52:00,214.87
2025-03-21 13:53:00,214.8534
2025-03-21 13:54:00,214.81
2025-03-21 13:55:00,214.69
2025-03-21 13:56:00,214.53
2025-03-21 13:57:00,214.52
2025-03-21 13:58:00,214.36
2025-03-21 13:59:00,214.29
2025-03-21 14:00:00,214.35
2025-03-21 14:01:00,214.499
2025-03-21 14:02:00,214.495
2025-03-21 14:03:00,214.575
2025-03-21 14:04:00,214.6
2025-03-21 14:05:00,214.55
2025-03-21 14:06:00,214.42
2025-03-21 14:07:00,214.5895
2025-03-21 14:08:00,214.65
2025-03-21 14:09:00,214.65
2025-03-21 14:10:00,214.66
2025-03-21 14:11:00,214.62
2025-03-21 14:12:00,214.69
2025-03-21 14:13:00,214.55
2025-03-21 14:14:00,214.75
2025-03-21 14:15:00,214.69
2025-03-21 14:16:00,214.595
2025-03-21 14:17:00,214.68
2025-03-21 14:18:00,214.66
2025-03-21 14:19:00,214.73
2025-03-21 14:20:00,214.835
2025-03-21 14:21:00,214.76
2025-03-21 14:22:00,214.8549
2025-03-21 14:23:00,214.74
2025-03-21 14:24:00,214.69
2025-03-21 14:25:00,214.65
2025-03-21 14:26:00,214.7905
2025-03-21 14:27:00,214.75
